Account,Details,Date,Description,Type,Check or Slip #,Just Text,Sub Category,Primary Category,Vendor,Amount,Tax/Reason,Notes
Bills 7129,DEBIT,1/5/2021,FOURSQUARE CHURCH 888-6354234 CA 01/04,DEBIT_CARD,,Foursquare Church Ca,Bollingers,Donation,Foursquare,$10.00,Charity,
Business 7060,DEBIT,11/1/2021,HAWAII BAPTIST ACADEMY WWW.HBA.NET HI 10/29,DEBIT_CARD,,Hawaii Baptist Academy Www Hba Net Hi,Donation,Donation,Donation,$250.00,Charity,
Business 7060,DEBIT,9/28/2021,STVERONICAC 703-773-2020 VA 09/27,DEBIT_CARD,,Stveronicac Va,Donation,Donation,Donation,$220.00,Charity,
Business 7060,DEBIT,8/17/2021,GoFundMe Help Greg an Redwood City CA 08/16,DEBIT_CARD,,Gofundme Help Greg An Redwood City Ca,Anna Funeral,Donation,Donation,$230.00,Charity,
Business 7060,DEBIT,5/19/2021,VENMO PAYMENT 1013744580619 WEB ID: 3264681992,ACH_DEBIT,,Venmopayment Web Id,Books for Kids,Donation,Venmo,$220.00,Charity,
Primary 5925,DEBIT,11/8/2021,SQ *OLD OAK RANCH Sonora CA 11/07,DEBIT_CARD,,Sq *Old Oak Ranch Sonora Ca,Old Oak Ranch,Donation,Old Oak Ranch,$2.00,Charity,
Primary 5925,DEBIT,11/8/2021,SQ *OLD OAK RANCH Sonora CA 11/06,DEBIT_CARD,,Sq *Old Oak Ranch Sonora Ca,Old Oak Ranch,Donation,Old Oak Ranch,$20.00,Charity,
Primary 5925,DEBIT,8/13/2021,GROUPON INC GROUPON.COM IL 08/12,DEBIT_CARD,,Groupon Inc Groupon Com Il,Gift,,,$39.00,Charity,
Primary 5925,DEBIT,8/13/2021,GROUPON INC GROUPON.COM IL 08/12,DEBIT_CARD,,Groupon Inc Groupon Com Il,Gift,,,$9.00,Charity,
Business 7060,DEBIT,6/10/2021,GOOGLE *Google Store g.co/helppay# CA 06/09,DEBIT_CARD,,Google *Google Store G Cohelppay Ca,Pixel 4a 5G,Cell Phone,Google,$556.66,Communication,
Bills 7129,DEBIT,5/21/2021,ATT*BILL PAYMENT 800-288-2020 TX 05/20,DEBIT_CARD,,Att*Bill Payment Tx,Cell,Phone,ATT,$135.00,Communication Home Office Expenses,
Bills 7129,DEBIT,4/21/2021,ATT*BILL PAYMENT 800-288-2020 TX 04/20,DEBIT_CARD,,Att*Bill Payment Tx,Cell,Phone,ATT,$135.00,Communication Home Office Expenses,
Bills 7129,DEBIT,3/22/2021,ATT*BILL PAYMENT 800-288-2020 TX 03/20,DEBIT_CARD,,Att*Bill Payment Tx,Cell,Phone,ATT,$134.97,Communication Home Office Expenses,
Bills 7129,DEBIT,2/22/2021,ATT*BILL PAYMENT 800-288-2020 TX 02/20,DEBIT_CARD,,Att*Bill Payment Tx,Cell,Phone,ATT,$134.97,Communication Home Office Expenses,
Bills 7129,DEBIT,1/21/2021,ATT*BILL PAYMENT 800-288-2020 TX 01/20,DEBIT_CARD,,Att*Bill Payment Tx,Cell,Phone,ATT,$135.01,Communication Home Office Expenses,
Bills 7129,DEBIT,7/21/2021,LIFELOC*ULTIMATE 800-5433562 AZ 07/20,DEBIT_CARD,,Lifeloc*Ultimate Az,ID Theft,Insurance,LifeLoc,$21.25,Cyber Security Insur,
Bills 7129,DEBIT,6/21/2021,LIFELOC*ULTIMATE 800-5433562 AZ 06/20,DEBIT_CARD,,Lifeloc*Ultimate Az,ID Theft,Insurance,LifeLoc,$21.25,Cyber Security Insur,
Bills 7129,DEBIT,5/21/2021,LIFELOC*ULTIMATE 800-5433562 AZ 05/20,DEBIT_CARD,,Lifeloc*Ultimate Az,ID Theft,Insurance,LifeLoc,$21.25,Cyber Security Insur,
Bills 7129,DEBIT,4/21/2021,LIFELOC*ULTIMATE 800-5433562 AZ 04/20,DEBIT_CARD,,Lifeloc*Ultimate Az,ID Theft,Insurance,LifeLoc,$21.25,Cyber Security Insur,
Bills 7129,DEBIT,3/22/2021,LIFELOC*ULTIMATE 800-5433562 AZ 03/20,DEBIT_CARD,,Lifeloc*Ultimate Az,ID Theft,Insurance,LifeLoc,$21.25,Cyber Security Insur,
Bills 7129,DEBIT,2/22/2021,LIFELOC*ULTIMATE 800-5433562 AZ 02/20,DEBIT_CARD,,Lifeloc*Ultimate Az,ID Theft,Insurance,LifeLoc,$21.25,Cyber Security Insur,
Bills 7129,DEBIT,1/21/2021,LIFELOC*ULTIMATE 800-5433562 AZ 01/20,DEBIT_CARD,,Lifeloc*Ultimate Az,ID Theft,Insurance,LifeLoc,$21.25,Cyber Security Insur,
Bills 7129,DEBIT,10/14/2021,PRIVATEINTERNETACCES WWW.PRIVATEIN CO 10/14,DEBIT_CARD,,Privateinternetacces Www Privatein Co,VPN,Privacy,PIA,$39.95,Cyber Security Insur,
Bills 7129,DEBIT,12/20/2021,NORTON *AP1372851300 877-294-5265 AZ 12/20,DEBIT_CARD,,Norton *Ap Az,Anti-Virus,Insurance,Norton,$21.25,Cyber Security Insur,
Bills 7129,DEBIT,11/22/2021,NORTON *AP1367977819 877-294-5265 AZ 11/20,DEBIT_CARD,,Norton *Ap Az,Anti-Virus,Insurance,Norton,$21.25,Cyber Security Insur,
Bills 7129,DEBIT,10/20/2021,NORTON *AP1363375179 877-294-5265 AZ 10/20,DEBIT_CARD,,Norton *Ap Az,Anti-Virus,Insurance,Norton,$21.25,Cyber Security Insur,
Bills 7129,DEBIT,9/20/2021,NORTON *AP1359822971 877-294-5265 AZ 09/20,DEBIT_CARD,,Norton *Ap Az,Anti-Virus,Insurance,Norton,$21.25,Cyber Security Insur,
Bills 7129,DEBIT,8/20/2021,NORTON *AP1355259274 877-294-5265 AZ 08/20,DEBIT_CARD,,Norton *Ap Az,Anti-Virus,Insurance,Norton,$21.25,Cyber Security Insur,
Business 7060,DEBIT,12/13/2021,GOOGLE*GOOGLE STORAGE 650-2530000 CA 12/10,DEBIT_CARD,,Google*Google Storage Ca,Data Storage,Insurance,Google,$19.99,Cyber Security Insur,
Business 7060,DEBIT,5/26/2021,SPYBOT HOME EDITION - GREYSTONES 05/25,DEBIT_CARD,,Spybot Home Edition Greystones,Anti Virus,Insurance,Spybot,$14.39,Cyber Security Insur,
Business 7060,DEBIT,9/22/2021,THEJOHNMAXWELLCO 800-333-6506 GA 09/22,DEBIT_CARD,,Thejohnmaxwellco Ga,Leadership,Education,John Maxwell,$17.16,Education,
Business 7060,DEBIT,1/19/2021,GOOGLE *Blinkist 855-836-3987 CA 01/15,DEBIT_CARD,,Google *Blinkist Ca,Blinkist,Education,Blinkist,$99.99,Education,
Business 7060,DEBIT,9/17/2021,Project Mgmt Institute 610-3564600 PA 09/16,DEBIT_CARD,,Project Mgmt Institute Pa,PMP Certification,Education,PMI,$139.00,Education,
Business 7060,DEBIT,4/28/2021,EDUMIND INC 614-610-1200 OH 04/28,DEBIT_CARD,,Edumind Inc Oh,PMP Class,Education,Edumind,$355.00,Education,
Bills 7129,DEBIT,5/24/2021,NETFLIX.COM NETFLIX.COM CA 05/23,DEBIT_CARD,,Netflix Com Netflix Com Ca,TV,Bills Utility,Netflix,$8.99,Entertainment?,
Bills 7129,DEBIT,4/23/2021,NETFLIX.COM NETFLIX.COM CA 04/23,DEBIT_CARD,,Netflix Com Netflix Com Ca,TV,Bills Utility,Netflix,$8.99,Entertainment?,
Bills 7129,DEBIT,3/23/2021,NETFLIX.COM NETFLIX.COM CA 03/23,DEBIT_CARD,,Netflix Com Netflix Com Ca,TV,Bills Utility,Netflix,$8.99,Entertainment?,
Bills 7129,DEBIT,2/23/2021,NETFLIX.COM NETFLIX.COM CA 02/23,DEBIT_CARD,,Netflix Com Netflix Com Ca,TV,Bills Utility,Netflix,$8.99,Entertainment?,
Bills 7129,DEBIT,1/25/2021,NETFLIX.COM NETFLIX.COM CA 01/23,DEBIT_CARD,,Netflix Com Netflix Com Ca,TV,Bills Utility,Netflix,$15.99,Entertainment?,
Business 7060,DEBIT,12/29/2021,NEWEGG INC. 800-390-1119 CA 12/28,DEBIT_CARD,,Newegg Inc Ca,Equip,Busines,Newegg,$979.28,Equipment,
Business 7060,DEBIT,12/20/2021,NEWEGG MARKETPLACE 800-390-1119 CA 12/20,DEBIT_CARD,,Newegg Marketplace Ca,Equip,Busines,Newegg,$49.51,Equipment,
Business 7060,DEBIT,10/19/2021,NEWEGG INC 626-271-1420 CA 10/19,DEBIT_CARD,,Newegg Inc Ca,Equip,Busines,Newegg,$968.67,Equipment,
Business 7060,DEBIT,8/31/2021,NEWEGG INC 626-271-1420 CA 08/31,DEBIT_CARD,,Newegg Inc Ca,Equip,Busines,Newegg,$160.30,Equipment,
Business 7060,DEBIT,8/6/2021,NEWEGG INC 626-271-1420 CA 08/06,DEBIT_CARD,,Newegg Inc Ca,Equip,Busines,Newegg,$189.63,Equipment,
Business 7060,DEBIT,5/13/2021,NEWEGG INC 626-271-1420 CA 05/13,DEBIT_CARD,,Newegg Inc Ca,Equip,Busines,Newegg,$10.36,Equipment,
Business 7060,DEBIT,4/28/2021,NEWEGG INC 626-271-1420 CA 04/28,DEBIT_CARD,,Newegg Inc Ca,Equip,Busines,Newegg,$490.24,Equipment,
Primary 5925,DEBIT,5/26/2021,SP * MOUSERUGS.COM 9702211200 CO 05/25,DEBIT_CARD,,Sp * Mouserugs Comco,Mousepad,,MouseRugs.com,$26.06,Equipment,
Primary 5925,CREDIT,8/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Income,Income,PG&E,"$3,112.30",Income,
Business 7060,CREDIT,8/13/2021,IRS TREAS 310 CHILDCTC PPD ID: 9111736946,ACH_CREDIT,,Irstreaschildctc Ppd Id,Child Tax Credit,Credit,IRS,$600.00,Income,
Business 7060,CREDIT,7/15/2021,IRS TREAS 310 CHILDCTC PPD ID: 9111736959,ACH_CREDIT,,Irstreaschildctc Ppd Id,Child Tax Credit,Credit,IRS,$600.00,Income,
Business 7060,CREDIT,6/3/2021,IRS TREAS 310 TAXEIP3 PPD ID: 9111036170,ACH_CREDIT,,Irstreastaxeipppd Id,Refund,Credit,IRS,"$1,400.00",Income,"Part 1 of 2 adds to $2,800+$2,800"
Business 7060,CREDIT,5/26/2021,IRS TREAS 310 TAX REF PPD ID: 9111736946,ACH_CREDIT,,Irstreastax Refppd Id,Refund,Credit,IRS,"$1,220.51",Income,
Business 7060,CREDIT,3/17/2021,IRS TREAS 310 TAXEIP3 PPD ID: 9111736205,ACH_CREDIT,,Irstreastaxeipppd Id,Refund,Credit,IRS,"$4,200.00",Income,"Part 2 of 2 adds to $2,800+$2,800"
Business 7060,CREDIT,1/4/2021,IRS TREAS 310 XXTAXEIP2 PPD ID: 9111736098,ACH_CREDIT,,Irstreasxxtaxeipppd Id,Refund,Credit,IRS,"$1,800.00",Income,
7290 N Christopher 9020,CREDIT,10/20/2021,REAL TIME TRANSFER RECD FROM ABA/021000021 FROM: COINBASE REF: 8GNTXNUH INFO: IID: 20211020021000021P1BRJPM00520029595 RECD: 12:32:21 TRN: 0830441293RU,MISC_CREDIT,15309.2,REAL TIME TRANSFER RECD FROM ABA/ FROM COINBASE,Exchange Earnings Withdraw,Crypto,Coinbase,$50.46,Income,
7290 N Christopher 9020,CREDIT,12/16/2021,ZULUSCAPE OWNERFUNDS PPD ID: 1475309106,ACH_CREDIT,11663.66,ZULUSCAPE OWNERFUNDS PPD ID,Rental Income,Investments,Zuluscape,"$1,203.10",Income,
7290 N Christopher 9020,CREDIT,11/16/2021,ZULUSCAPE OWNERFUNDS PPD ID: 1475309106,ACH_CREDIT,11755.88,ZULUSCAPE OWNERFUNDS PPD ID,Rental Income,Investments,Zuluscape,"$1,242.00",Income,
7290 N Christopher 9020,CREDIT,10/18/2021,ZULUSCAPE OWNERFUNDS PPD ID: 1475309106,ACH_CREDIT,16258.74,ZULUSCAPE OWNERFUNDS PPD ID,Rental Income,Investments,Zuluscape,"$1,252.69",Income,
7290 N Christopher 9020,CREDIT,9/16/2021,ZULUSCAPE OWNERFUNDS PPD ID: 1475309106,ACH_CREDIT,10801.37,ZULUSCAPE OWNERFUNDS PPD ID,Rental Income,Investments,Zuluscape,$789.00,Income,
7290 N Christopher 9020,CREDIT,8/17/2021,ZULUSCAPE OWNERFUNDS PPD ID: 1475309106,ACH_CREDIT,10807.69,ZULUSCAPE OWNERFUNDS PPD ID,Rental Income,Investments,Zuluscape,"$3,346.80",Income,
7290 N Christopher 9020,CREDIT,6/16/2021,ZULUSCAPE OWNERFUNDS PPD ID: 1475309106,ACH_CREDIT,9051.53,ZULUSCAPE OWNERFUNDS PPD ID,Rental Income,Investments,Zuluscape,$609.50,Income,
7290 N Christopher 9020,CREDIT,5/18/2021,ZULUSCAPE OWNERFUNDS PPD ID: 1475309106,ACH_CREDIT,9225.65,ZULUSCAPE OWNERFUNDS PPD ID,Rental Income,Investments,Zuluscape,"$1,121.02",Income,
7290 N Christopher 9020,CREDIT,4/16/2021,ZULUSCAPE OWNERFUNDS PPD ID: 1475309106,ACH_CREDIT,8888.25,ZULUSCAPE OWNERFUNDS PPD ID,Rental Income,Investments,Zuluscape,$604.52,Income,
7290 N Christopher 9020,CREDIT,2/17/2021,ZULUSCAPE OWNERFUNDS PPD ID: 1475309106,ACH_CREDIT,9850.97,ZULUSCAPE OWNERFUNDS PPD ID,Rental Income,Investments,Zuluscape,$981.20,Income,
7290 N Christopher 9020,CREDIT,1/19/2021,ZULUSCAPE OWNERFUNDS PPD ID: 1475309106,ACH_CREDIT,9653.39,ZULUSCAPE OWNERFUNDS PPD ID,Rental Income,Investments,Zuluscape,"$1,073.60",Income,
Business 7060,CREDIT,8/12/2021,NEUROMONITORING ACH Pmt PPD ID: 9200502235,ACH_CREDIT,,Neuromonitoringach Pmtppd Id,Dashboard,Payment,NMA,"$2,200.00",Income,
Business 7060,CREDIT,7/12/2021,NEUROMONITORING ACH Pmt PPD ID: 9200502235,ACH_CREDIT,,Neuromonitoringach Pmtppd Id,Dashboard,Payment,NMA,"$2,200.00",Income,
Business 7060,CREDIT,6/11/2021,NEUROMONITORING ACH Pmt PPD ID: 9200502235,ACH_CREDIT,,Neuromonitoringach Pmtppd Id,Dashboard,Payment,NMA,"$2,200.00",Income,
Business 7060,CREDIT,5/12/2021,NEUROMONITORING ACH Pmt PPD ID: 9200502235,ACH_CREDIT,,Neuromonitoringach Pmtppd Id,Dashboard,Payment,NMA,"$2,200.00",Income,
Business 7060,CREDIT,4/12/2021,NEUROMONITORING ACH Pmt PPD ID: 9200502235,ACH_CREDIT,,Neuromonitoringach Pmtppd Id,Dashboard,Payment,NMA,"$2,200.00",Income,
Business 7060,CREDIT,3/12/2021,NEUROMONITORING ACH Pmt PPD ID: 9200502235,ACH_CREDIT,,Neuromonitoringach Pmtppd Id,Dashboard,Payment,NMA,"$2,200.00",Income,
Business 7060,CREDIT,2/12/2021,NEUROMONITORING ACH Pmt PPD ID: 9200502235,ACH_CREDIT,,Neuromonitoringach Pmtppd Id,Dashboard,Payment,NMA,"$2,200.00",Income,
Business 7060,CREDIT,1/12/2021,NEUROMONITORING ACH Pmt PPD ID: 9200502235,ACH_CREDIT,,Neuromonitoringach Pmtppd Id,Dashboard,Payment,NMA,"$2,200.00",Income,
Bills 7129,CREDIT,12/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,300.00",Income,
Bills 7129,CREDIT,11/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,300.00",Income,
Bills 7129,CREDIT,10/22/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,300.00",Income,
Bills 7129,CREDIT,9/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,300.00",Income,
Bills 7129,CREDIT,8/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,300.00",Income,
Bills 7129,CREDIT,7/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,300.00",Income,
Bills 7129,CREDIT,6/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,300.00",Income,
Bills 7129,CREDIT,5/21/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,300.00",Income,
Bills 7129,CREDIT,4/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,300.00",Income,
Bills 7129,CREDIT,3/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,300.00",Income,
Bills 7129,CREDIT,2/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,300.00",Income,
Bills 7129,CREDIT,1/22/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,300.00",Income,
Primary 5925,CREDIT,12/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,112.35",Income,
Primary 5925,CREDIT,12/2/2021,PACIFIC GAS & EL AP PPD ID: 1940742640,ACH_CREDIT,,Pacific Gas & El Ap Ppd Id,Payroll,Payroll,PG&E,$107.74,Income,
Primary 5925,CREDIT,11/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,112.30",Income,
Primary 5925,CREDIT,10/22/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,112.30",Income,
Primary 5925,CREDIT,9/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,112.31",Income,
Primary 5925,CREDIT,7/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,112.29",Income,
Primary 5925,CREDIT,6/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,112.32",Income,
Primary 5925,CREDIT,5/21/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,112.30",Income,
Primary 5925,CREDIT,4/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,112.30",Income,
Primary 5925,CREDIT,3/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$3,112.78",Income,
Primary 5925,CREDIT,3/15/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$4,629.30",Income,
Primary 5925,CREDIT,2/23/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$2,928.52",Income,
Primary 5925,CREDIT,1/22/2021,PACIFIC GAS & EL PAYROLL PPD ID: 9121031282,ACH_CREDIT,,Pacific Gas & El Payrollppd Id,Payroll,Payroll,PG&E,"$2,873.53",Income,
Business 7060,CREDIT,11/9/2021,Zelle payment from JASON G PATEL 12984500160,QUICKPAY_CREDIT,,Zelle Payment From Jason G Patel,Dashboard,Payment,NMA,"$1,400.00",Income *DO NOT INCLUDE,
Business 7060,CREDIT,10/1/2021,Zelle payment from JASON G PATEL 12703447381,QUICKPAY_CREDIT,,Zelle Payment From Jason G Patel,Dashboard,Payment,NMA,"$1,100.00",Income *DO NOT INCLUDE,
Business 7060,CREDIT,2/22/2021,QuickPay with Zelle payment from JASON G PATEL 11224857806,QUICKPAY_CREDIT,,Quickpay With Zelle Payment From Jason G Patel,Dashboard,Payment,NMA,"$1,000.00",Income *DO NOT INCLUDE,
7290 N Christopher 9020,DEBIT,12/27/2021,COINBASE INC. 8889087930 KLBG5CUV WEB ID: 1327000623,ACH_DEBIT,11663.66,COINBASE INC KLBGCUV WEB ID,Exchange Deposit,Crypto,Coinbase,"$5,759.49",Investment,
7290 N Christopher 9020,DEBIT,12/15/2021,COINBASE INC. 8889087930 8HZ8DL3G WEB ID: 1327000623,ACH_DEBIT,10460.56,COINBASE INC HZDLG WEB ID,Exchange Deposit,Crypto,Coinbase,$500.00,Investment,
7290 N Christopher 9020,DEBIT,11/26/2021,COINBASE INC. 8889087930 YAA2T4LJ WEB ID: 1327000623,ACH_DEBIT,11755.88,COINBASE INC YAATLJ WEB ID,Exchange Deposit,Crypto,Coinbase,$372.00,Investment,
7290 N Christopher 9020,DEBIT,11/15/2021,COINBASE INC. 8889087930 J3K39GKS WEB ID: 1327000623,ACH_DEBIT,10513.88,COINBASE INC JKGKS WEB ID,Exchange Deposit,Crypto,Coinbase,"$3,450.00",Investment,
7290 N Christopher 9020,DEBIT,10/29/2021,COINBASE INC. 8889087930 QPQJCQ3R WEB ID: 1327000623,ACH_DEBIT,11859.2,COINBASE INC QPQJCQR WEB ID,Exchange Deposit,Crypto,Coinbase,"$1,000.00",Investment,
7290 N Christopher 9020,DEBIT,10/29/2021,COINBASE INC. 8889087930 NBFFBAF7 WEB ID: 1327000623,ACH_DEBIT,11309.2,COINBASE INC NBFFBAF WEB ID,Exchange Deposit,Crypto,Coinbase,$550.00,Investment,
7290 N Christopher 9020,DEBIT,10/20/2021,Coinbase.com K5AWUX53 K5AWUX53e1c7 WEB ID: 1455293997,ACH_DEBIT,11309.2,Coinbase com KAWUX KAWUXec WEB ID,Exchange Deposit,Crypto,Coinbase,"$4,000.00",Investment,
7290 N Christopher 9020,DEBIT,10/19/2021,Coinbase.com L75PHTEZ L75PHTEZe1c7 WEB ID: 1455293997,ACH_DEBIT,15258.74,Coinbase com LPHTEZ LPHTEZec WEB ID,Exchange Deposit,Crypto,Coinbase,"$1,000.00",Investment,
Business 7060,DEBIT,11/12/2021,PAYPAL INST XFER HELLOFRESH WEB ID: PAYPALSI77,ACH_DEBIT,,Paypal Inst Xferhellofreshweb Id Paypalsi,Restaurant,Food,Hello Fresh,$80.91,Meals,
